Counselor	Supervisor	CreatedOn	MedicalProvider	FormProcessId	Provider	Enabled	CompletedBy	DateFilterEnabled	Staff	FormName	ModifiedOn	Prefix	Patient	Requestor	RowState	TableName	Doctor
NULL	NULL	CreatedOn	NULL	26	NULL	1	NULL	1	StaffSignatureDate	MN - DAANES Notification Form	ModifiedOn	22	NULL	NULL	1	tblDAANESNotification	NULL
NULL	NULL	CreatedOn	NULL	27	NULL	1	NULL	1	StaffSignatureDate	MN - Authorization for Release of Information to the MAARC	ModifiedDate	21	NULL	NULL	1	tblMAARC	NULL
NULL	NULL	CreatedOn	NULL	28	NULL	1	NULL	1	StaffSignatureDate	Initial Services Plan and Vulnerable Adult Determination	ModifiedOn	20	NULL	NULL	1	InitialServicesPlanandVAD	NULL
NULL	NULL	CreatedOn	NULL	29	NULL	1	CompletedBySignatureDate	1	CompletedBySignatureDate	State Fact Form	ModifiedOn	19	NULL	NULL	1	StateFactForm	NULL
NULL	NULL	CreatedOn	NULL	30	NULL	1	NULL	1	StaffSignatureDate	MN - Mental Health Informed Consent	ModifiedOn	18	PatientSignatureDate	NULL	1	MentalHealthInformedConsent	NULL
NULL	NULL	CreatedOn	NULL	31	NULL	1	NULL	1	NULL	Insurance Benefit Verification	ModifiedOn	17	NULL	NULL	1	InsuranceBenefitVerification	NULL
NULL	NULL	CreatedOn	NULL	32	NULL	1	NULL	1	NULL	Patient Information sheet	ModifiedOn	16	NULL	NULL	1	PatientInformationsheet	NULL
StaffSignatureDate	NULL	CreatedDate	NULL	33	NULL	1	NULL	1	StaffSignatureDate	Adverse Childhood Experiences	ModifiedDate	15	NULL	NULL	1	AdverseChildhood	NULL
NULL	NULL	CreatedOn	NULL	35	NULL	1	NULL	1	StaffSignatureDate	MN - Consent to Central Registry	ModifiedOn	14	PatientSignatureDate	NULL	1	GeneralConsentAuthforReleaseInfo	NULL
NULL	NULL	CreatedOn	NULL	36	NULL	1	NULL	1	StaffSignatureDate	CO - Consent Central Registry Colorado	ModifiedOn	13	PatientSignatureDate	NULL	1	ConsentCentralRegistryColorado	NULL
NULL	NULL	CreatedOn	NULL	37	NULL	1	NULL	1	StaffSignatureDate	KS Patient Rights and Responsibilities	ModifiedOn	12	PatientSignatureDate	NULL	1	KSPatientRightsResponsibilities	NULL
NULL	NULL	CreatedOn	NULL	38	NULL	1	NULL	1	NULL	BHG Notice Of Privacy Practices	ModifiedOn	10	PatientSignatureDate	NULL	1	tblBHGNoticeOfPrivacyPractices	NULL
NULL	SupervisorSignatureDate	CreatedOn	NULL	39	NULL	1	NULL	1	StaffSignatureDate	Suicide Severity Rating Scale	ModifiedOn	1	NULL	NULL	1	SuicideSeverityRatingScale	NULL
NULL	SupervisorSignatureDate	CreatedOn	NULL	40	NULL	1	NULL	1	StaffSignatureDate	Suicide Severity Rating Scale 2.0	ModifiedOn	11	NULL	NULL	1	SAFETProtocolwithCSSRS	NULL
NULL	NULL	Createddate	NurseSignatureDate	41	NULL	1	NULL	1	NULL	Health Questionnaire	Modifieddate	2	NULL	NULL	1	HealthQuestionnaire	DoctorSignatureDate
NULL	NULL	CreatedOn	MedicalStaffSignatureDate	42	NULL	1	NULL	1	NULL	Infectious Disease And Behavioral Screen	ModifiedOn	3	NULL	NULL	1	InfectiousDiseaseAndBehavioralScreen	NULL
NULL	NULL	CreatedOn	NULL	43	NULL	1	NULL	1	StaffSignatureDate	Consent to Treatment with an Approved Narcotic	ModifiedOn	4	PatientSignatureDate	NULL	1	ConsentToTreatmentWithAnApprovedNarcotic	DoctorSignatureDate
NULL	NULL	CreatedOn	NULL	44	NULL	1	NULL	1	NULL	Financial Hardship Application	ModifiedOn	5	FHAPatientSignatureDate	NULL	1	FinancialHardshipApplication	NULL
NULL	NULL	CreatedOn	NULL	45	NULL	1	NULL	1	CAStaffSignatureDate	Comprehensive Assessment Form	ModifiedOn	6	CAPatientSignatureDate	NULL	1	ComprehensiveAssessmentForm	NULL
NULL	AdmissionAssessmentSupervisorSignatureDate	CreatedOn	NULL	46	NULL	1	NULL	1	AdmissionAssessmentStaffSignatureDate	Admission Assessment	ModifiedOn	7	AdmissionAssessmentPatientSignatureDate	NULL	1	AdmissionAssessment	NULL
NULL	tprSUPERSIGDate	tprDT	NULL	47	tprDRSIGDate	1	NULL	1	tprCOUNSSIGDate	Treatment Plan	NULL	8	tprCLIRNTSIGDate	NULL	1	tblTP17REVIEW	NULL
NULL	NULL	DateAdded	NULL	48	DrSigDt	1	NULL	1	NULL	Level Justification	statusDate	9	NULL	NULL	1	tblORDERREQ	NULL
NULL	NULL	CreatedOn	NULL	49	NULL	1	NULL	1	StaffSignatureDate	Consent for Release of Confidential Info V0	ModifiedOn	48	PatientSignatureDate	NULL	1	ConsentforReleaseConInfoRevised	NULL
NULL	NULL	CreatedOn	NULL	50	NULL	0	NULL	1	BHGTeamMemberSignatureDate	Consent For Release Of Confidential Information For Emergency Contact	LastUpdateOn	49	PatientSignatureDate	NULL	1	SF_ConsentForEmergencyContact	NULL
NULL	SupervisorSignatureDate	CreatedOn	NULL	51	NULL	0	NULL	1	StaffSignatureDate	Discharge Summary	UpdatedOn	50	NULL	NULL	1	DischargeSummary	NULL
NULL	SupervisorSignatureDate	CreatedOn	NULL	52	NULL	0	NULL	1	StaffSignatureDate	Discharge Transfer Plan Form	ModifiedOn	51	NULL	NULL	1	DischargeTransferPlanForm	MedicalProviderSignatureDate
CounselorSignatureDate	NULL	CreatedOn	MedicalStaffSignatureDate	53	ProviderSignatureDate	1	NULL	1	NULL	Guest Dosing/Permanent Transfer	ModifiedOn	52	PatientSignatureDate	NULL	1	GuestDosingPermanentTransfer	NULL
NULL	NULL	Created	MDSignatureDate	54	NULL	0	NULL	1	NULL	History And Physical Short Form	Modified	53	PatientSignatureDate	NULL	1	RNP_AdmissionPhysicalHistory	PhysicianDate
NULL	NULL	CreatedDate	NULL	55	NULL	0	NULL	1	DAPStaffSignatureDate	Individual Counseling	ModifiedDate	54	NULL	NULL	1	DAPAssessment	NULL
NULL	NULL	Created	NULL	56	NULL	0	NULL	1	StaffSignatureDate	MAT Orientation Checklist	Modified	56	ClientSignatureDate	NULL	1	RNP_OrientationChecklist	NULL
CounselorSignatureDate	NULL	CreatedOn	NULL	57	NULL	0	NULL	1	NurseSignatureDate	OTP Universal Guest Dosing Form	ModifiedOn	57	PatientSignatureDate	NULL	1	OpioidTretamentProgram	PhysicianSignatureDate
NULL	NULL	CreatedOn	NULL	58	NULL	1	NULL	1	PatientSignatureDate	Pre Admission	LastUpdateOn	58	NULL	NULL	1	SF_PatientPreAdmission	NULL
ReassessmentClientSignatureDate	NULL	CreatedOn	NULL	59	NULL	0	NULL	1	ReAssessmentStaffSignatureDate	ReAssessment	ModifiedOn	59	NULL	NULL	1	ReAssessment	NULL
NULL	NULL	createdon	NULL	60	NULL	1	NULL	0	StaffSignDate	Referral	updatedon	60	patientsignaturedate	NULL	1	ReferralForm	NULL
NULL	NULL	Createddate	NULL	61	NULL	1	NULL	1	CounselorSignatureDate	Understanding of Treatment	UpdatedDate	61	PatientSignatureDate	NULL	1	SF_UnderstandingOfTreatment	NULL
NULL	NULL	CreatedOn	NULL	62	NULL	1	NULL	1	StaffSignatureDate	MO - Consent Central Registry Missouri	ModifiedOn	62	PatientSignatureDate	NULL	1	MOConsentCentralRegistryMissouri	NULL
NULL	NULL	CreatedOn	NULL	63	NULL	1	NULL	1	StaffSignatureDate	SC - Consent Central Registry	ModifiedOn	63	PatientSignatureDate	NULL	1	SCConsentReleaseCentralRegistry	NULL
NULL	NULL	CreatedOn	NULL	64	NULL	1	NULL	1	StaffSignatureDate	Consent to Disclose Assignment of Benefits Ver 1	ModifiedOn	64	PatientSignatureDate	NULL	1	ConsentToDiscloseAssignmentofBenefits	NULL
NULL	NULL	Createdon	NULL	65	ProviderSignatureDate	1	NULL	1	StaffSignatureDate	Consent to Treatment for IOP Or EOP Or OP	Modifiedon	65	PatientSignatureDate	NULL	1	ConsenttoTreatmentforIOPOrEOPOrOP	NULL
NULL	NULL	Createdon	NULL	66	NULL	1	NULL	1	StaffSignatureDate	GPRA	Modifiedon	66	NULL	NULL	1	GPRA	NULL
NULL	NULL	CreatedOn	NULL	67	NULL	1	NULL	1	StaffSignatureDate	MAT and Driving	ModifiedOn	67	PatientSignatureDate	NULL	1	MATandDriving	NULL
NULL	NULL	CreatedOn	NULL	68	NULL	1	NULL	1	StaffSignatureDate	Patient Rights And Responsibilities V2	ModifiedOn	68	PatientSignatureDate	NULL	1	PatientRightsAndResponsibilitiesV2	NULL
NULL	NULL	CreatedOn	NULL	69	NULL	1	NULL	1	StaffSignatureDate	Request Release of Medical Records V2	ModifiedOn	69	PatientSignatureDate	NULL	1	RequestReleaseofMedicalRecordsV2	NULL
NULL	NULL	CreatedOn	NULL	70	NULL	1	NULL	1	StaffSignatureDate	Take Home Risk Assessment	ModifiedOn	70	NULL	NULL	1	TakeHomeRiskAssessment	NULL
NULL	NULL	CreatedOn	MedicalStaffSignatureDate	71	ProviderSignatureDate	1	NULL	1	NULL	Adult Nutritional Screen	ModifiedOn	71	PatientSignatureDate	NULL	1	AdultNutritionalScreen	NULL
NULL	NULL	CreatedOn	NULL	74	NULL	1	NULL	1	StaffSignatureDate	Consent For Follow-Up Contact	ModifiedOn	72	PatientSignatureDate	NULL	1	ConsentForFollowUpContact	NULL
NULL	NULL	CreatedOn	NULL	75	NULL	1	NULL	1	StaffSignatureDate	Consent for Release of Confidential Information to Emergency Contact Ver 1	ModifiedOn	73	PatientSignatureDate	NULL	1	ConsentReleaseEmergencyContact	NULL
NULL	NULL	CreatedOn	NULL	76	NULL	1	NULL	1	NULL	AL - Consent to Central Registry	ModifiedOn	74	PatientSignatureDate	NULL	1	ConsentCentralRegistryAlabama	NULL
NULL	NULL	CreatedOn	NULL	78	NULL	1	NULL	1	StaffSignatureDate	LA - Consent to Central Registry	ModifiedOn	75	PatientSignatureDate	NULL	1	ConsentCentralRegistryLouisiana	NULL
NULL	NULL	CreatedOn	NULL	79	NULL	1	NULL	1	StaffSignatureDate	Overdose Education	ModifiedOn	76	PatientSignatureDate	NULL	1	OpioidOverdoseRisks	NULL
NULL	NULL	CreatedOn	NULL	80	NULL	1	NULL	1	NULL	Notice of Privacy Practice DC	ModifiedOn	77	PatientSignatureDate	NULL	1	NoticeofPrivacyPracticesDC	NULL
CounselorSignatureDate	SupervisorSignatureDate	CreatedOn	NULL	81	ProviderSignatureDate	1	NULL	1	NULL	Admission Assessment V1	ModifiedOn	78	PatientSignatureDate	NULL	1	NewAdmissionAssessment	NULL
NULL	NULL	CreatedOn	NULL	82	ProviderSignatureDate	1	NULL	1	StaffSignatureDate	Consent and Screen for Tuberculosis Skin Test	ModifiedOn	79	PatientSignatureDate	NULL	1	ConsentandScreenFTST	NULL
NULL	NULL	CreatedOn	NULL	84	NULL	1	NULL	1	StaffSignatureDate	Consent to Release Information to the Health Department	ModifiedOn	80	PatientSignatureDate	NULL	1	ConsenttoReleaseInformationtotheHealthDepartmentRevised	NULL
NULL	NULL	CreatedOn	NULL	86	NULL	1	NULL	1	StaffSignatureDate	Take Home Agreement and Diversion Control Plan	ModifiedOn	81	PatientSignatureDate	NULL	1	TakeHomeAgreementandDiversionControl	NULL
NULL	NULL	CreatedOn	NULL	88	NULL	1	NULL	1	StaffSignatureDate	Take Home Guidelines	ModifiedOn	82	PatientSignatureDate	NULL	1	TakeHomeGuidelinesForm	NULL
NULL	NULL	CreatedOn	NULL	89	NULL	1	NULL	1	StaffSignatureDate	KY - Patient Rights and Responsibilities	ModifiedOn	83	PatientSignatureDate	NULL	1	KYPatientRightsandResp	NULL
NULL	NULL	CreatedOn	NULL	90	ProviderSignatureDate	1	NULL	1	StaffSignatureDate	PPD Test	ModifiedOn	84	NULL	NULL	1	PPDTest	NULL
CounselorSignatureDate	SupervisorSignatureDate	CreatedOn	NULL	91	NULL	1	NULL	1	NULL	MN - Comprehensive Assessment	ModifiedOn	85	PatientSignatureDate	NULL	1	MNComprehensiveAssessment	NULL
